Access to Exercise Opportunities-Percent; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities
2018,50007,Chittenden County,Vermont,6.4,77.908588585
2018,55055,Jefferson County,Wisconsin,6.4,70.585283082
2018,55093,Pierce County,Wisconsin,6.4,65.874350911
2018,55141,Wood County,Wisconsin,6.4,65.701213394
2018,05015,Carroll County,Arkansas,6.5,44.673176419
2018,08047,Gilpin County,Colorado,6.5,50.909759235
2018,08113,San Miguel County,Colorado,6.5,79.453730126
2018,09007,Middlesex County,Connecticut,6.5,86.467563196
2018,12115,Sarasota County,Florida,6.5,89.181653349
2018,17057,Fulton County,Illinois,6.5,55.982087459
2018,19035,Cherokee County,Iowa,6.5,67.196819085
2018,19071,Fremont County,Iowa,6.5,27.187206021
2018,19093,Ida County,Iowa,6.5,70.799830724
2018,19151,Pocahontas County,Iowa,6.5,57.55129959
2018,21039,Carlisle County,Kentucky,6.5,7.6802507837
2018,25019,Nantucket County,Massachusetts,6.5,93.226504129
2018,26093,Livingston County,Michigan,6.5,77.180369902
2018,27047,Freeborn County,Minnesota,6.5,62.303631419
2018,29039,Cedar County,Missouri,6.5,47.439565155
2018,29141,Morgan County,Missouri,6.5,32.399708242
2018,30011,Carter County,Montana,6.5,20.948275862
2018,30055,Mccone County,Montana,6.5,5.8823529412
2018,31063,Frontier County,Nebraska,6.5,59.615384615
2018,31075,Grant County,Nebraska,6.5,No Data
2018,36079,Putnam County,New York,6.5,71.077123659
2018,36109,Tompkins County,New York,6.5,76.862864795
2018,37125,Moore County,North Carolina,6.5,65.011841762
2018,46021,Campbell County,South Dakota,6.5,No Data
2018,46051,Grant County,South Dakota,6.5,59.108210984
2018,46091,Marshall County,South Dakota,6.5,34.450171821
2018,47091,Johnson County,Tennessee,6.5,100
2018,51610,Falls Church City,Virginia,6.5,100
2018,55017,Chippewa County,Wisconsin,6.5,46.110710566
2018,55075,Marinette County,Wisconsin,6.5,61.438597332
2018,55135,Waupaca County,Wisconsin,6.5,69.574508682
2018,56029,Park County,Wyoming,6.5,63.995745435
2018,02230,Skagway Municipality,Alaska,6.6,100
2018,06001,Alameda County,California,6.6,99.583915734
2018,06075,San Francisco County,California,6.6,100
2018,06093,Siskiyou County,California,6.6,69.178173719
2018,08041,El Paso County,Colorado,6.6,88.703651029
2018,12087,Monroe County,Florida,6.6,78.395129293
2018,16081,Teton County,Idaho,6.6,80.157325467
2018,17047,Edwards County,Illinois,6.6,12.334474037
2018,18139,Rush County,Indiana,6.6,44.094986201
2018,19015,Boone County,Iowa,6.6,75.92564434
2018,20187,Stanton County,Kansas,6.6,69.530201342
2018,26007,Alpena County,Michigan,6.6,56.888978985
2018,26107,Mecosta County,Michigan,6.6,58.829851862
2018,27053,Hennepin County,Minnesota,6.6,97.778250212
2018,29139,Montgomery County,Missouri,6.6,4.4540699575
2018,29203,Shannon County,Missouri,6.6,55.810922876
2018,30043,Jefferson County,Montana,6.6,42.205856567
2018,30107,Wheatland County,Montana,6.6,64.575645756
2018,31117,Mcpherson County,Nebraska,6.6,No Data
2018,35003,Catron County,New Mexico,6.6,66.120805369
2018,36061,New York County,New York,6.6,100
2018,37129,New Hanover County,North Carolina,6.6,85.973542807
2018,38089,Stark County,North Dakota,6.6,41.381875284
2018,40059,Harper County,Oklahoma,6.6,No Data
2018,41023,Grant County,Oregon,6.6,51.887172599
2018,46063,Harding County,South Dakota,6.6,4.8605577689
2018,46081,Lawrence County,South Dakota,6.6,83.487571067
2018,46117,Stanley County,South Dakota,6.6,84.254888739
2018,48023,Baylor County,Texas,6.6,85.480407944
2018,48493,Wilson County,Texas,6.6,56.423878093
2018,49017,Garfield County,Utah,6.6,22.312451663
2018,50001,Addison County,Vermont,6.6,55.856712202
2018,51017,Bath County,Virginia,6.6,100
2018,53037,Kittitas County,Washington,6.6,56.179885128
2018,54017,Doddridge County,West Virginia,6.6,34.6135089
2018,55043,Grant County,Wisconsin,6.6,53.671301359
2018,56033,Sheridan County,Wyoming,6.6,82.466684984
2018,06109,Tuolumne County,California,6.7,73.822812246
2018,08061,Kiowa County,Colorado,6.7,54.864091559
2018,08079,Mineral County,Colorado,6.7,100
2018,08091,Ouray County,Colorado,6.7,52.705139766
2018,13219,Oconee County,Georgia,6.7,71.467325043
2018,16033,Clark County,Idaho,6.7,5.4989816701
2018,17015,Carroll County,Illinois,6.7,49.775784753
2018,17017,Cass County,Illinois,6.7,17.15291013
2018,17037,Dekalb County,Illinois,6.7,80.273868391
2018,17053,Ford County,Illinois,6.7,58.696115333
2018,17135,Montgomery County,Illinois,6.7,31.676853574
2018,18001,Adams County,Indiana,6.7,45.848721901
2018,19107,Keokuk County,Iowa,6.7,34.582818
2018,20071,Greeley County,Kansas,6.7,No Data
2018,21023,Bracken County,Kentucky,6.7,0.0589066918
2018,21167,Mercer County,Kentucky,6.7,59.612770147
2018,21201,Robertson County,Kentucky,6.7,2.9798422436
2018,25011,Franklin County,Massachusetts,6.7,58.413663622
2018,26087,Lapeer County,Michigan,6.7,50.771634643
2018,29035,Carter County,Missouri,6.7,63.016759777
2018,29061,Daviess County,Missouri,6.7,11.478714574
2018,29085,Hickory County,Missouri,6.7,26.093279319
2018,29129,Mercer County,Missouri,6.7,6.9484808454
2018,29161,Phelps County,Missouri,6.7,73.026840287
2018,30001,Beaverhead County,Montana,6.7,62.535150335
2018,30059,Meagher County,Montana,6.7,13.432046536
2018,31045,Dawes County,Nebraska,6.7,74.166848181
2018,31101,Keith County,Nebraska,6.7,65.248565966
2018,32027,Pershing County,Nevada,6.7,22.567747668
