Severe Housing Cost Burden-Percent; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Severe Housing Cost Burden
2018,49055,Wayne County,Utah,6.4,7.1134020619
2018,50007,Chittenden County,Vermont,6.4,15.673656119
2018,55055,Jefferson County,Wisconsin,6.4,10.000924015
2018,55093,Pierce County,Wisconsin,6.4,9.8782831518
2018,55141,Wood County,Wisconsin,6.4,9.1168002003
2018,05015,Carroll County,Arkansas,6.5,9.0572837633
2018,08047,Gilpin County,Colorado,6.5,14.538878843
2018,08113,San Miguel County,Colorado,6.5,18.766215048
2018,09007,Middlesex County,Connecticut,6.5,13.525562558
2018,12115,Sarasota County,Florida,6.5,14.406237462
2018,17057,Fulton County,Illinois,6.5,7.595492463
2018,19035,Cherokee County,Iowa,6.5,6.6446473674
2018,19071,Fremont County,Iowa,6.5,6.5263157895
2018,19093,Ida County,Iowa,6.5,4.8473967684
2018,19151,Pocahontas County,Iowa,6.5,6.8036375884
2018,21039,Carlisle County,Kentucky,6.5,6.967882417
2018,25019,Nantucket County,Massachusetts,6.5,17.46031746
2018,26093,Livingston County,Michigan,6.5,8.7105347378
2018,27047,Freeborn County,Minnesota,6.5,8.2315872391
2018,29039,Cedar County,Missouri,6.5,9.5660559306
2018,29141,Morgan County,Missouri,6.5,11.530708238
2018,30011,Carter County,Montana,6.5,11.07266436
2018,30055,Mccone County,Montana,6.5,10.094212651
2018,31063,Frontier County,Nebraska,6.5,7.4626865672
2018,31075,Grant County,Nebraska,6.5,17.24137931
2018,36079,Putnam County,New York,6.5,15.940177145
2018,36109,Tompkins County,New York,6.5,20.915999388
2018,37125,Moore County,North Carolina,6.5,11.387142567
2018,46021,Campbell County,South Dakota,6.5,7.2419106317
2018,46051,Grant County,South Dakota,6.5,8.0865224626
2018,46091,Marshall County,South Dakota,6.5,3.9194338596
2018,47091,Johnson County,Tennessee,6.5,10.810810811
2018,51610,Falls Church City,Virginia,6.5,11.834319527
2018,55017,Chippewa County,Wisconsin,6.5,9.7565755948
2018,55075,Marinette County,Wisconsin,6.5,9.8258844405
2018,55135,Waupaca County,Wisconsin,6.5,10.078647088
2018,56029,Park County,Wyoming,6.5,8.3900226757
2018,02230,Skagway Municipality,Alaska,6.6,1.5831134565
2018,06001,Alameda County,California,6.6,17.07669449
2018,06075,San Francisco County,California,6.6,16.2613598
2018,06093,Siskiyou County,California,6.6,14.884299308
2018,08041,El Paso County,Colorado,6.6,14.026499146
2018,12087,Monroe County,Florida,6.6,21.985391348
2018,16081,Teton County,Idaho,6.6,9.3298602889
2018,17047,Edwards County,Illinois,6.6,4.7208692394
2018,18139,Rush County,Indiana,6.6,8.601983881
2018,19015,Boone County,Iowa,6.6,5.8817948961
2018,20187,Stanton County,Kansas,6.6,4.7872340426
2018,26007,Alpena County,Michigan,6.6,8.907792312
2018,26107,Mecosta County,Michigan,6.6,12.638977636
2018,27053,Hennepin County,Minnesota,6.6,12.554632219
2018,29139,Montgomery County,Missouri,6.6,9.2307692308
2018,29203,Shannon County,Missouri,6.6,12.369275153
2018,30043,Jefferson County,Montana,6.6,8.1182543407
2018,30107,Wheatland County,Montana,6.6,15.796897038
2018,31117,Mcpherson County,Nebraska,6.6,2.9239766082
2018,35003,Catron County,New Mexico,6.6,6.8989547038
2018,36061,New York County,New York,6.6,19.745008584
2018,37129,New Hanover County,North Carolina,6.6,17.423346566
2018,38089,Stark County,North Dakota,6.6,12.152606479
2018,40059,Harper County,Oklahoma,6.6,6.4946619217
2018,41023,Grant County,Oregon,6.6,14.329643296
2018,46063,Harding County,South Dakota,6.6,5.9770114943
2018,46081,Lawrence County,South Dakota,6.6,12.113378266
2018,46117,Stanley County,South Dakota,6.6,3.9721254355
2018,48023,Baylor County,Texas,6.6,4.5662100457
2018,48493,Wilson County,Texas,6.6,9.2984048762
2018,49017,Garfield County,Utah,6.6,12.444196429
2018,50001,Addison County,Vermont,6.6,11.917243307
2018,51017,Bath County,Virginia,6.6,10.230466554
2018,53037,Kittitas County,Washington,6.6,19.013588869
2018,54017,Doddridge County,West Virginia,6.6,2.066772655
2018,55043,Grant County,Wisconsin,6.6,11.198511826
2018,56033,Sheridan County,Wyoming,6.6,13.404657017
2018,06109,Tuolumne County,California,6.7,16.863010607
2018,08061,Kiowa County,Colorado,6.7,14.51048951
2018,08079,Mineral County,Colorado,6.7,14.136125654
2018,08091,Ouray County,Colorado,6.7,19.492293744
2018,13219,Oconee County,Georgia,6.7,7.3743264191
2018,16033,Clark County,Idaho,6.7,3.0201342282
2018,17015,Carroll County,Illinois,6.7,7.0337881741
2018,17017,Cass County,Illinois,6.7,6.8783068783
2018,17037,Dekalb County,Illinois,6.7,14.812339607
2018,17053,Ford County,Illinois,6.7,9.7730927282
2018,17135,Montgomery County,Illinois,6.7,7.4846175039
